Employee Number,Decimal Number
207524,8.30
207524,.60
207524,516.00
207524,254.18
207524,8.30
209048,90.28
209048,126.00
209048,216.98
209048,278.34
208021,543.49
208021,434.87
208021,40.00
208021,.00
208021,296.64
208021,944.17
208021,40.00
208002,203.21
208002,16.00
208002,56.00
208002,.00
208002,630.79
208002,8.75
208002,20.00
208002,40.00
207485,443.75
207485,155.00
207485,56.30
207485,14.20
207485,233.56
207485,56.30
208180,234.07
208180,121.75
208180,32.30
208180,120.00
208180,125.54
208180,182.45
208180,8.30
207355,936.00
207355,343.52
207355,56.30
207355,1.00
207355,129.00
207355,923.39
207355,56.30
207194,583.38
207194,455.62
207194,56.30
207194,112.60
207194,12.90
207194,988.49
207194,56.30
208181,390.41
208181,93.12
208181,56.30
208181,288.00
208181,385.68
208181,213.05
208181,8.30
209054,138.28
209054,62.10
209054,216.98
209054,182.34
207656,193.62
207656,125.75
207656,56.30
207656,.00
207656,258.00
207656,471.52
207656,56.30
208955,191.02
208955,132.32
208955,40.00
208955,336.00
208955,305.90
208955,80.37
208955,40.00
208954,43.32
208954,198.96
208954,8.00
208954,288.00
208954,114.90
208954,242.49
208954,40.00
208786,258.59
208786,430.50
208786,8.30
208786,64.00
208786,90.30
208786,506.66
208786,8.30
208648,40.86
208648,133.12
208648,8.30
208648,593.40
208648,272.41
208648,8.30
208496,265.91
208496,193.75
208496,8.30
208496,.00
208496,142.30
208496,199.77
208496,8.30
208494,157.91
208494,108.00
208494,.30
208494,128.29
208494,929.07
208494,.00
208953,.38
208953,159.00
208953,40.00
208953,352.42
208953,252.23
208953,40.00
208398,99.72
208398,10.50
208398,56.30
208398,64.60
208398,4.00
208398,296.70
208398,351.64
208398,56.30
207356,678.60
207356,191.93
207356,56.30
207356,.00
207356,23.13
207356,490.02
207356,8.30
208182,30.41
208182,282.75
208182,32.30
208182,32.00
208182,348.30
208182,065.05
208182,32.30
208101,345.48
208101,.00
208101,54.00
208101,600.38
208101,.00
208101,10.00
208101,9.00
208101,.00
208101,.00
208101,.00
208101,82.47
208101,40.00
208139,129.97
208139,478.06
208139,56.30
208139,32.00
208139,12.90
208139,310.78
208139,56.30
207480,100.75
207480,132.25
207480,8.30
207480,80.00
207480,368.00
207480,18.16
207480,246.81
207480,8.30
207357,179.14
207357,53.25
207357,56.30
207357,435.60
207357,477.91
207357,962.37
207357,56.30
209053,114.28
209053,12.00
209053,12.90
209053,110.34
208099,406.91
208099,16.00
208099,56.00
208099,176.29
208099,.00
208099,14.00
208099,.00
208099,40.00
208051,254.29
208051,136.25
208051,56.30
208051,32.00
208051,45.15
208051,470.95
208051,56.30
208952,170.28
208952,480.00
208952,40.00
208952,353.90
208952,229.49
208952,40.00
208022,279.00
208022,16.75
208022,8.30
208022,48.00
208022,12.90
208022,437.72
208022,8.30
207359,393.70
207359,168.50
207359,56.30
207359,48.00
207359,20.07
207359,604.34
207359,56.30
208184,522.41
208184,213.00
208184,8.30
208184,64.60
208184,516.00
208184,292.05
208184,.00
208023,279.00
208023,211.50
208023,8.30
208023,.00
208023,339.60
208023,516.00
208023,823.32
208023,56.30
207486,438.75
207486,388.12
207486,56.30
207486,516.00
207486,707.56
207486,56.30
208185,85.91
208185,26.50
208185,8.30
208185,16.60
208185,243.60
208185,32.33
208185,543.55
208185,56.30
208951,28.68
208951,.00
208951,.00
208951,.00
208951,353.90
208951,349.49
208951,32.00
208800,29.20
208800,147.47
208800,8.30
208800,112.00
208800,129.00
208800,108.38
208800,56.30
208024,103.07
208024,125.50
208024,8.30
208024,64.60
208024,435.60
208024,12.90
208024,797.60
208024,8.30
208471,20.13
208471,.00
208471,157.50
208471,40.00
208471,.00
208471,8.00
208471,.00
208471,3.97
208471,.00
208471,182.02
208471,32.50
208471,222.00
208471,699.73
208471,689.90
208471,526.50
208471,094.30
208471,9.00
208471,252.40
208471,892.85
208471,40.00
208471,170.78
208471,618.50
208791,113.67
208791,347.25
208791,56.30
208791,48.00
208791,480.00
208791,516.00
208791,350.78
208791,56.30
209049,89.36
209049,48.60
209049,48.20
209049,145.16
208395,87.72
208395,307.50
208395,12.30
208395,296.70
208395,059.64
208395,8.30
209052,137.36
209052,24.00
209052,215.90
209052,278.16
209055,138.28
209055,89.85
209055,216.98
209055,182.34
208798,426.62
208798,359.25
208798,56.30
208798,.60
208798,516.00
208798,562.10
208798,8.30
209051,186.28
209051,48.00
209051,216.98
209051,231.34
209051,179.29
209051,224.45
209051,124.90
209051,48.60
209051,480.00
209051,026.76
209051,809.52
209051,72.90
208454,.00
208454,10.00
208454,.00
208454,17.50
208454,165.78
208454,258.60
208454,.00
207272,89.86
207272,.00
207272,12.75
207272,40.00
207272,48.00
207272,181.30
